Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
8.27712e+07,2.808e+06,2.46645e+07,-13.0903,-0.0811894,-0.0132775,-0.0678993,-1.26514e-05
8.55792e+07,2.808e+06,2.4368e+07,-13.4677,-0.0835142,-0.0136572,-0.069841,-1.60335e-05
8.83872e+07,2.808e+06,2.41546e+07,-13.4771,-0.0835235,-0.0136572,-0.069841,-2.53117e-05
9.11952e+07,1.404e+06,2.30979e+07,-15.288,-0.0937681,-0.0155092,-0.078218,-4.09614e-05
9.25992e+07,1.404e+06,2.26119e+07,-15.26,-0.0931154,-0.0154688,-0.0775827,-6.38623e-05
9.40032e+07,1.404e+06,2.21412e+07,-15.3286,-0.0939686,-0.0154688,-0.0783888,-0.000111023
9.54072e+07,1.404e+06,2.1582e+07,-15.6675,-0.0962619,-0.0157308,-0.0803563,-0.000174859
9.68112e+07,1.404e+06,2.11997e+07,-15.7506,-0.0963859,-0.0157308,-0.0803987,-0.000256369
9.82152e+07,1.404e+06,2.08111e+07,-15.8412,-0.0964611,-0.0157308,-0.0803834,-0.000346922
9.96192e+07,1.404e+06,2.17279e+07,-13.8436,-0.0835362,-0.013697,-0.0694733,-0.000365807
1.01023e+08,1.404e+06,2.14763e+07,-13.9528,-0.0841677,-0.013697,-0.0700104,-0.000460287
1.02427e+08,1.404e+06,2.11681e+07,-14.0519,-0.0843831,-0.013697,-0.0701303,-0.000555755
1.03831e+08,1.404e+06,2.04624e+07,-14.7296,-0.0880799,-0.0142531,-0.0731463,-0.000680459
1.05235e+08,1.404e+06,2.00999e+07,-14.8168,-0.0879771,-0.0142531,-0.0729517,-0.000772305
1.06639e+08,1.404e+06,1.97177e+07,-14.9084,-0.0880103,-0.014253,-0.0728922,-0.000865069
1.08043e+08,2.808e+06,1.95166e+07,-14.3586,-0.0837475,-0.0135529,-0.0691873,-0.00100726
1.10851e+08,2.808e+06,1.88383e+07,-14.5827,-0.0843992,-0.0135529,-0.0696277,-0.00121861
1.13659e+08,1.404e+06,1.73788e+07,-16.1158,-0.0932762,-0.0148256,-0.0769759,-0.00147462
1.15063e+08,1.404e+06,1.69455e+07,-16.2049,-0.0925238,-0.0148255,-0.0761124,-0.00158588
