Var1	Var2
-222.23611805903	0
-221.985992996498	0
-221.735867933967	0
-221.485742871436	0
-221.235617808904	0
-220.985492746373	0
-220.735367683842	0
-220.485242621311	0
-220.235117558779	0
-219.984992496248	0
-219.734867433717	0
-219.484742371186	0
-219.234617308654	0
-218.984492246123	0
-218.734367183592	0
-218.484242121061	0
-218.234117058529	0
-217.983991995998	0
-217.733866933467	0
-217.483741870935	0
-217.233616808404	0
-216.983491745873	0
-216.733366683342	0
-216.48324162081	0
-216.233116558279	0
-215.982991495748	0
-215.732866433217	0
-215.482741370685	0
-215.232616308154	0
-214.982491245623	0
-214.732366183092	0
-214.48224112056	0
-214.232116058029	0
-213.981990995498	0
-213.731865932966	0
-213.481740870435	0
-213.231615807904	0
-212.981490745373	0
-212.731365682841	0
-212.48124062031	0
-212.231115557779	0
-211.980990495248	0
-211.730865432716	0
-211.480740370185	0
-211.230615307654	0
-210.980490245123	0
-210.730365182591	0
-210.48024012006	0
-210.230115057529	0
-209.979989994998	0
-209.729864932466	0
-209.479739869935	0
-209.229614807404	0
-208.979489744872	0
-208.729364682341	0
-208.47923961981	0
-208.229114557279	0
-207.978989494747	0
-207.728864432216	0
-207.478739369685	0
-207.228614307154	0
-206.978489244622	0
-206.728364182091	0
-206.47823911956	0
-206.228114057029	0
-205.977988994497	0
-205.727863931966	0
-205.477738869435	0
-205.227613806903	0
-204.977488744372	0
-204.727363681841	0
-204.47723861931	0
-204.227113556778	0
-203.976988494247	0
-203.726863431716	0
-203.476738369185	0
-203.226613306653	0
-202.976488244122	0
-202.726363181591	0
-202.47623811906	0
-202.226113056528	0
-201.975987993997	0
-201.725862931466	0
-201.475737868934	0
-201.225612806403	0
-200.975487743872	0
-200.725362681341	0
-200.475237618809	0
-200.225112556278	0
-199.974987493747	0
-199.724862431216	0
-199.474737368684	0
-199.224612306153	0
-198.974487243622	0
-198.724362181091	0
-198.474237118559	0
-198.224112056028	0
-197.973986993497	0
-197.723861930965	0
-197.473736868434	0
-197.223611805903	0
-196.973486743372	0
