         time             r   temperature
          20000         0.84641         99.8275
          20000        0.863178         99.8606
          20000        0.880278         99.8887
          20000        0.897717         99.9128
          20000        0.915502         99.9333
          20000        0.933639         99.9511
          20000        0.952136         99.9666
          20000           0.971         99.9806
          20000        0.990238         99.9937
          50000        0.100995        -19.3549
          50000        0.102995        -18.0894
          50000        0.104995        -16.8471
          50000        0.107345        -15.4133
          50000        0.110045        -13.8052
          50000        0.112745        -12.2343
          50000        0.115444        -10.6988
          50000        0.118144        -9.19722
          50000        0.120844        -7.72807
          50000        0.123544        -6.28997
          50000        0.126244        -4.88167
          50000        0.128944        -3.50195
          50000        0.131644         -2.1497
          50000        0.134305       -0.842944
          50000        0.136953        0.433309
          50000        0.139654         1.71058
          50000        0.142408         2.98882
          50000        0.145217         4.26799
          50000        0.148081         5.54803
          50000        0.151003         6.82891
          50000        0.153982         8.11055
          50000         0.15702         9.39291
          50000        0.160119         10.6759
          50000        0.163279         11.9595
          50000        0.166502         13.2436
          50000        0.169788         14.5281
          50000         0.17314          15.813
          50000        0.176558         17.0982
          50000        0.180044         18.3835
          50000        0.183599         19.6689
          50000        0.187225         20.9543
          50000        0.190922         22.2396
          50000        0.194693         23.5246
          50000        0.198539         24.8092
          50000        0.202461         26.0934
          50000         0.20646          27.377
          50000        0.210539         28.6597
          50000        0.214699         29.9416
          50000        0.218941         31.2224
          50000        0.223267         32.5019
          50000         0.22768           33.78
          50000        0.232179         35.0566
          50000        0.236768         36.3313
          50000        0.241448          37.604
          50000         0.24622         38.8745
          50000        0.251088         40.1426
          50000        0.256051          41.408
          50000        0.261114         42.6704
          50000        0.266276         43.9297
          50000        0.271541         45.1855
          50000         0.27691         46.4376
          50000        0.282386         47.6857
          50000         0.28797         48.9294
          50000        0.293665         50.1684
          50000        0.299473         51.4024
          50000        0.305396         52.6311
          50000        0.311437         53.8541
          50000        0.317597         55.0709
          50000         0.32388         56.2813
          50000        0.330287         57.4848
          50000        0.336821         58.6809
          50000        0.343485         59.8693
          50000         0.35028         61.0495
          50000        0.357211          62.221
          50000        0.364279         63.3834
          50000        0.371487         64.5361
          50000        0.378838         65.6787
          50000        0.386335         66.8106
          50000         0.39398         67.9313
          50000        0.401777         69.0402
          50000        0.409728         70.1369
          50000        0.417838         71.2207
          50000        0.426108          72.291
          50000        0.434542         73.3474
          50000        0.443143         74.3892
          50000        0.451915         75.4157
          50000         0.46086         76.4265
          50000        0.469983         77.4209
          50000        0.479287         78.3984
          50000        0.488776         79.3583
          50000        0.498452         80.3001
          50000        0.508321         81.2232
          50000        0.518385          82.127
          50000        0.528649          83.011
          50000        0.539116         83.8747
          50000         0.54979         84.7176
          50000        0.560677         85.5391
          50000        0.571779         86.3389
          50000        0.583101         87.1164
          50000        0.594648         87.8714
          50000        0.606424         88.6035
          50000        0.618433         89.3124
          50000         0.63068         89.9978
          50000        0.643171         90.6596
          50000        0.655908         91.2977
          50000        0.668899         91.9119
          50000        0.682147         92.5022
          50000        0.695657         93.0688
          50000        0.709436         93.6119
          50000        0.723488         94.1315
          50000        0.737818         94.6282
          50000        0.752433         95.1022
          50000        0.767337         95.5542
          50000        0.782537         95.9846
          50000        0.798038         96.3944
          50000        0.813846         96.7843
          50000        0.829968         97.1553
          50000         0.84641         97.5084
          50000        0.863178         97.8449
          50000        0.880278         98.1662
          50000        0.897717         98.4737
          50000        0.915502         98.7691
          50000        0.933639         99.0543
          50000        0.952136         99.3311
          50000           0.971         99.6017
          50000        0.990238         99.8685
         100000        0.100995         -19.444
         100000        0.102995        -18.3532
         100000        0.104995        -17.2826
         100000        0.107345        -16.0471
         100000        0.110045        -14.6616
         100000        0.112745        -13.3083
         100000        0.115444        -11.9857
         100000        0.118144        -10.6924
         100000        0.120844        -9.42708
         100000        0.123544        -8.18863
         100000        0.126244        -6.97588
         100000        0.128944        -5.78778
         100000        0.131644        -4.62334
         100000        0.134305        -3.49806
         100000        0.136953        -2.39902
         100000        0.139654        -1.29905
         100000        0.142408       -0.198159
         100000        0.145217        0.903626
         100000        0.148081         2.00629
         100000        0.151003         3.10982
         100000        0.153982          4.2142
         100000         0.15702          5.3194
         100000        0.160119         6.42541
         100000        0.163279         7.53219
         100000        0.166502         8.63974
         100000        0.169788         9.74801
         100000         0.17314          10.857
         100000        0.176558         11.9666
         100000        0.180044         13.0769
         100000        0.183599         14.1878
         100000        0.187225         15.2993
         100000        0.190922         16.4113
         100000        0.194693         17.5239
         100000        0.198539         18.6369
         100000        0.202461         19.7503
         100000         0.20646          20.864
         100000        0.210539         21.9781
         100000        0.214699         23.0925
         100000        0.218941         24.2071
         100000        0.223267         25.3218
         100000         0.22768         26.4366
         100000        0.232179         27.5515
         100000        0.236768         28.6663
         100000        0.241448         29.7811
         100000         0.24622         30.8956
         100000        0.251088         32.0099
         100000        0.256051         33.1239
         100000        0.261114         34.2374
         100000        0.266276         35.3504
         100000        0.271541         36.4628
         100000         0.27691         37.5745
         100000        0.282386         38.6853
         100000         0.28797         39.7952
         100000        0.293665         40.9041
         100000        0.299473         42.0118
         100000        0.305396         43.1182
         100000        0.311437         44.2232
         100000        0.317597         45.3266
         100000         0.32388         46.4283
         100000        0.330287         47.5281
         100000        0.336821         48.6258
         100000        0.343485         49.7214
         100000         0.35028         50.8147
         100000        0.357211         51.9053
         100000        0.364279         52.9933
         100000        0.371487         54.0783
         100000        0.378838         55.1602
         100000        0.386335         56.2388
         100000         0.39398         57.3138
         100000        0.401777         58.3851
         100000        0.409728         59.4524
         100000        0.417838         60.5154
         100000        0.426108          61.574
         100000        0.434542         62.6279
         100000        0.443143         63.6768
         100000        0.451915         64.7204
         100000         0.46086         65.7586
         100000        0.469983         66.7909
         100000        0.479287         67.8172
         100000        0.488776         68.8372
         100000        0.498452         69.8506
         100000        0.508321         70.8571
         100000        0.518385         71.8563
         100000        0.528649         72.8481
         100000        0.539116         73.8321
         100000         0.54979          74.808
         100000        0.560677         75.7756
         100000        0.571779         76.7346
         100000        0.583101         77.6847
         100000        0.594648         78.6256
         100000        0.606424         79.5571
         100000        0.618433          80.479
         100000         0.63068         81.3909
         100000        0.643171         82.2928
         100000        0.655908         83.1845
         100000        0.668899         84.0657
         100000        0.682147         84.9363
         100000        0.695657         85.7963
         100000        0.709436         86.6456
         100000        0.723488         87.4841
         100000        0.737818         88.3119
         100000        0.752433         89.1291
         100000        0.767337         89.9357
         100000        0.782537         90.7319
         100000        0.798038          91.518
         100000        0.813846         92.2944
         100000        0.829968         93.0612
         100000         0.84641         93.8192
         100000        0.863178         94.5687
         100000        0.880278         95.3105
         100000        0.897717         96.0452
         100000        0.915502         96.7737
         100000        0.933639          97.497
         100000        0.952136         98.2161
         100000           0.971         98.9322
         100000        0.990238         99.6466
