Time,"elementCenter:0","elementCenter:1","elementCenter:2","pressure","temperature"
1e+05,0.22767,0.0022352,0.05,2.2404e+05,46.321
1e+05,0.22767,0.0022352,0.05,2.2404e+05,46.321
1e+05,0.22767,0.0022352,0.05,2.2404e+05,46.321
1e+05,0.22767,0.0022352,0.05,2.2404e+05,46.321
1e+05,0.23217,0.0022794,0.05,2.285e+05,45.111
1e+05,0.23217,0.0022794,0.05,2.285e+05,45.111
1e+05,0.23217,0.0022794,0.05,2.285e+05,45.111
1e+05,0.23217,0.0022794,0.05,2.285e+05,45.111
1e+05,0.23217,0.0022794,0.05,2.285e+05,45.111
1e+05,0.23676,0.0023244,0.05,2.3287e+05,43.908
1e+05,0.23676,0.0023244,0.05,2.3287e+05,43.908
1e+05,0.23676,0.0023244,0.05,2.3287e+05,43.908
1e+05,0.23676,0.0023244,0.05,2.3287e+05,43.908
1e+05,0.23676,0.0023244,0.05,2.3287e+05,43.908
1e+05,0.24144,0.0023704,0.05,2.3715e+05,42.712
1e+05,0.24144,0.0023704,0.05,2.3715e+05,42.712
1e+05,0.24144,0.0023704,0.05,2.3715e+05,42.712
1e+05,0.24144,0.0023704,0.05,2.3715e+05,42.712
1e+05,0.24621,0.0024172,0.05,2.4134e+05,41.523
1e+05,0.24621,0.0024172,0.05,2.4134e+05,41.523
1e+05,0.24621,0.0024172,0.05,2.4134e+05,41.523
1e+05,0.24621,0.0024172,0.05,2.4134e+05,41.523
1e+05,0.24621,0.0024172,0.05,2.4134e+05,41.523
1e+05,0.25108,0.002465,0.05,2.4544e+05,40.342
1e+05,0.25108,0.002465,0.05,2.4544e+05,40.342
1e+05,0.25108,0.002465,0.05,2.4544e+05,40.342
1e+05,0.25108,0.002465,0.05,2.4544e+05,40.342
1e+05,0.25108,0.002465,0.05,2.4544e+05,40.342
1e+05,0.25604,0.0025137,0.05,2.4943e+05,39.169
1e+05,0.25604,0.0025137,0.05,2.4943e+05,39.169
1e+05,0.25604,0.0025137,0.05,2.4943e+05,39.169
1e+05,0.25604,0.0025137,0.05,2.4943e+05,39.169
1e+05,0.25604,0.0025137,0.05,2.4943e+05,39.169
1e+05,0.2611,0.0025634,0.05,2.5331e+05,38.005
1e+05,0.2611,0.0025634,0.05,2.5331e+05,38.005
1e+05,0.2611,0.0025634,0.05,2.5331e+05,38.005
1e+05,0.2611,0.0025634,0.05,2.5331e+05,38.005
1e+05,0.2611,0.0025634,0.05,2.5331e+05,38.005
1e+05,0.26626,0.0026141,0.05,2.5707e+05,36.85
1e+05,0.26626,0.0026141,0.05,2.5707e+05,36.85
1e+05,0.26626,0.0026141,0.05,2.5707e+05,36.85
1e+05,0.26626,0.0026141,0.05,2.5707e+05,36.85
1e+05,0.26626,0.0026141,0.05,2.5707e+05,36.85
1e+05,0.27153,0.0026658,0.05,2.6072e+05,35.704
1e+05,0.27153,0.0026658,0.05,2.6072e+05,35.704
1e+05,0.27153,0.0026658,0.05,2.6072e+05,35.704
1e+05,0.27153,0.0026658,0.05,2.6072e+05,35.704
1e+05,0.27153,0.0026658,0.05,2.6072e+05,35.704
1e+05,0.27153,0.0026658,0.05,2.6072e+05,35.704
1e+05,0.2769,0.0027185,0.05,2.6424e+05,34.568
1e+05,0.2769,0.0027185,0.05,2.6424e+05,34.568
1e+05,0.2769,0.0027185,0.05,2.6424e+05,34.568
1e+05,0.2769,0.0027185,0.05,2.6424e+05,34.568
1e+05,0.2769,0.0027185,0.05,2.6424e+05,34.568
1e+05,0.28237,0.0027723,0.05,2.6763e+05,33.443
1e+05,0.28237,0.0027723,0.05,2.6763e+05,33.443
1e+05,0.28237,0.0027723,0.05,2.6763e+05,33.443
1e+05,0.28237,0.0027723,0.05,2.6763e+05,33.443
1e+05,0.28237,0.0027723,0.05,2.6763e+05,33.443
1e+05,0.28237,0.0027723,0.05,2.6763e+05,33.443
1e+05,0.28796,0.0028271,0.05,2.7088e+05,32.329
1e+05,0.28796,0.0028271,0.05,2.7088e+05,32.329
1e+05,0.28796,0.0028271,0.05,2.7088e+05,32.329
1e+05,0.28796,0.0028271,0.05,2.7088e+05,32.329
1e+05,0.28796,0.0028271,0.05,2.7088e+05,32.329
1e+05,0.29365,0.002883,0.05,2.7399e+05,31.226
1e+05,0.29365,0.002883,0.05,2.7399e+05,31.226
1e+05,0.29365,0.002883,0.05,2.7399e+05,31.226
1e+05,0.29365,0.002883,0.05,2.7399e+05,31.226
1e+05,0.29365,0.002883,0.05,2.7399e+05,31.226
1e+05,0.29365,0.002883,0.05,2.7399e+05,31.226
1e+05,0.29946,0.00294,0.05,2.7694e+05,30.135
1e+05,0.29946,0.00294,0.05,2.7694e+05,30.135
1e+05,0.29946,0.00294,0.05,2.7694e+05,30.135
1e+05,0.29946,0.00294,0.05,2.7694e+05,30.135
1e+05,0.29946,0.00294,0.05,2.7694e+05,30.135
1e+05,0.29946,0.00294,0.05,2.7694e+05,30.135
1e+05,0.30538,0.0029982,0.05,2.7974e+05,29.057
1e+05,0.30538,0.0029982,0.05,2.7974e+05,29.057
1e+05,0.30538,0.0029982,0.05,2.7974e+05,29.057
1e+05,0.30538,0.0029982,0.05,2.7974e+05,29.057
1e+05,0.30538,0.0029982,0.05,2.7974e+05,29.057
1e+05,0.30538,0.0029982,0.05,2.7974e+05,29.057
1e+05,0.31142,0.0030575,0.05,2.8238e+05,27.992
1e+05,0.31142,0.0030575,0.05,2.8238e+05,27.992
1e+05,0.31142,0.0030575,0.05,2.8238e+05,27.992
1e+05,0.31142,0.0030575,0.05,2.8238e+05,27.992
1e+05,0.31142,0.0030575,0.05,2.8238e+05,27.992
1e+05,0.31142,0.0030575,0.05,2.8238e+05,27.992
1e+05,0.31758,0.003118,0.05,2.8484e+05,26.941
1e+05,0.31758,0.003118,0.05,2.8484e+05,26.941
1e+05,0.31758,0.003118,0.05,2.8484e+05,26.941
1e+05,0.31758,0.003118,0.05,2.8484e+05,26.941
1e+05,0.31758,0.003118,0.05,2.8484e+05,26.941
1e+05,0.31758,0.003118,0.05,2.8484e+05,26.941
1e+05,0.32386,0.0031796,0.05,2.8713e+05,25.903
1e+05,0.32386,0.0031796,0.05,2.8713e+05,25.903
1e+05,0.32386,0.0031796,0.05,2.8713e+05,25.903
1e+05,0.32386,0.0031796,0.05,2.8713e+05,25.903
1e+05,0.32386,0.0031796,0.05,2.8713e+05,25.903
1e+05,0.32386,0.0031796,0.05,2.8713e+05,25.903
1e+05,0.32386,0.0031796,0.05,2.8713e+05,25.903
1e+05,0.33027,0.0032425,0.05,2.8923e+05,24.881
1e+05,0.33027,0.0032425,0.05,2.8923e+05,24.881
1e+05,0.33027,0.0032425,0.05,2.8923e+05,24.881
1e+05,0.33027,0.0032425,0.05,2.8923e+05,24.881
1e+05,0.33027,0.0032425,0.05,2.8923e+05,24.881
1e+05,0.33027,0.0032425,0.05,2.8923e+05,24.881
1e+05,0.3368,0.0033067,0.05,2.9114e+05,23.874
1e+05,0.3368,0.0033067,0.05,2.9114e+05,23.874
1e+05,0.3368,0.0033067,0.05,2.9114e+05,23.874
1e+05,0.3368,0.0033067,0.05,2.9114e+05,23.874
1e+05,0.3368,0.0033067,0.05,2.9114e+05,23.874
1e+05,0.3368,0.0033067,0.05,2.9114e+05,23.874
1e+05,0.3368,0.0033067,0.05,2.9114e+05,23.874
1e+05,0.34347,0.0033721,0.05,2.9285e+05,22.883
1e+05,0.34347,0.0033721,0.05,2.9285e+05,22.883
1e+05,0.34347,0.0033721,0.05,2.9285e+05,22.883
1e+05,0.34347,0.0033721,0.05,2.9285e+05,22.883
1e+05,0.34347,0.0033721,0.05,2.9285e+05,22.883
1e+05,0.34347,0.0033721,0.05,2.9285e+05,22.883
1e+05,0.35026,0.0034388,0.05,2.9435e+05,21.909
1e+05,0.35026,0.0034388,0.05,2.9435e+05,21.909
1e+05,0.35026,0.0034388,0.05,2.9435e+05,21.909
1e+05,0.35026,0.0034388,0.05,2.9435e+05,21.909
1e+05,0.35026,0.0034388,0.05,2.9435e+05,21.909
1e+05,0.35026,0.0034388,0.05,2.9435e+05,21.909
1e+05,0.35026,0.0034388,0.05,2.9435e+05,21.909
1e+05,0.35719,0.0035069,0.05,2.9564e+05,20.951
1e+05,0.35719,0.0035069,0.05,2.9564e+05,20.951
1e+05,0.35719,0.0035069,0.05,2.9564e+05,20.951
1e+05,0.35719,0.0035069,0.05,2.9564e+05,20.951
1e+05,0.35719,0.0035069,0.05,2.9564e+05,20.951
1e+05,0.35719,0.0035069,0.05,2.9564e+05,20.951
1e+05,0.35719,0.0035069,0.05,2.9564e+05,20.951
1e+05,0.36426,0.0035762,0.05,2.9671e+05,20.012
1e+05,0.36426,0.0035762,0.05,2.9671e+05,20.012
1e+05,0.36426,0.0035762,0.05,2.9671e+05,20.012
1e+05,0.36426,0.0035762,0.05,2.9671e+05,20.012
1e+05,0.36426,0.0035762,0.05,2.9671e+05,20.012
1e+05,0.36426,0.0035762,0.05,2.9671e+05,20.012
1e+05,0.36426,0.0035762,0.05,2.9671e+05,20.012
1e+05,0.37147,0.003647,0.05,2.9755e+05,19.091
1e+05,0.37147,0.003647,0.05,2.9755e+05,19.091
1e+05,0.37147,0.003647,0.05,2.9755e+05,19.091
1e+05,0.37147,0.003647,0.05,2.9755e+05,19.091
1e+05,0.37147,0.003647,0.05,2.9755e+05,19.091
1e+05,0.37147,0.003647,0.05,2.9755e+05,19.091
1e+05,0.37147,0.003647,0.05,2.9755e+05,19.091
1e+05,0.37147,0.003647,0.05,2.9755e+05,19.091
1e+05,0.37882,0.0037192,0.05,2.9816e+05,18.188
1e+05,0.37882,0.0037192,0.05,2.9816e+05,18.188
1e+05,0.37882,0.0037192,0.05,2.9816e+05,18.188
1e+05,0.37882,0.0037192,0.05,2.9816e+05,18.188
1e+05,0.37882,0.0037192,0.05,2.9816e+05,18.188
1e+05,0.37882,0.0037192,0.05,2.9816e+05,18.188
1e+05,0.37882,0.0037192,0.05,2.9816e+05,18.188
1e+05,0.38632,0.0037928,0.05,2.9853e+05,17.305
1e+05,0.38632,0.0037928,0.05,2.9853e+05,17.305
1e+05,0.38632,0.0037928,0.05,2.9853e+05,17.305
1e+05,0.38632,0.0037928,0.05,2.9853e+05,17.305
1e+05,0.38632,0.0037928,0.05,2.9853e+05,17.305
1e+05,0.38632,0.0037928,0.05,2.9853e+05,17.305
1e+05,0.38632,0.0037928,0.05,2.9853e+05,17.305
1e+05,0.38632,0.0037928,0.05,2.9853e+05,17.305
1e+05,0.39396,0.0038678,0.05,2.9864e+05,16.443
1e+05,0.39396,0.0038678,0.05,2.9864e+05,16.443
1e+05,0.39396,0.0038678,0.05,2.9864e+05,16.443
1e+05,0.39396,0.0038678,0.05,2.9864e+05,16.443
1e+05,0.39396,0.0038678,0.05,2.9864e+05,16.443
1e+05,0.39396,0.0038678,0.05,2.9864e+05,16.443
1e+05,0.39396,0.0038678,0.05,2.9864e+05,16.443
1e+05,0.40176,0.0039444,0.05,2.9851e+05,15.6
1e+05,0.40176,0.0039444,0.05,2.9851e+05,15.6
1e+05,0.40176,0.0039444,0.05,2.9851e+05,15.6
1e+05,0.40176,0.0039444,0.05,2.9851e+05,15.6
1e+05,0.40176,0.0039444,0.05,2.9851e+05,15.6
1e+05,0.40176,0.0039444,0.05,2.9851e+05,15.6
1e+05,0.40176,0.0039444,0.05,2.9851e+05,15.6
1e+05,0.40176,0.0039444,0.05,2.9851e+05,15.6
1e+05,0.40971,0.0040224,0.05,2.9811e+05,14.779
1e+05,0.40971,0.0040224,0.05,2.9811e+05,14.779
1e+05,0.40971,0.0040224,0.05,2.9811e+05,14.779
1e+05,0.40971,0.0040224,0.05,2.9811e+05,14.779
1e+05,0.40971,0.0040224,0.05,2.9811e+05,14.779
1e+05,0.40971,0.0040224,0.05,2.9811e+05,14.779
1e+05,0.40971,0.0040224,0.05,2.9811e+05,14.779
1e+05,0.40971,0.0040224,0.05,2.9811e+05,14.779
1e+05,0.41782,0.004102,0.05,2.9744e+05,13.979
1e+05,0.41782,0.004102,0.05,2.9744e+05,13.979
1e+05,0.41782,0.004102,0.05,2.9744e+05,13.979
1e+05,0.41782,0.004102,0.05,2.9744e+05,13.979
1e+05,0.41782,0.004102,0.05,2.9744e+05,13.979
1e+05,0.41782,0.004102,0.05,2.9744e+05,13.979
1e+05,0.41782,0.004102,0.05,2.9744e+05,13.979
1e+05,0.41782,0.004102,0.05,2.9744e+05,13.979
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.42609,0.0041832,0.05,2.965e+05,13.202
1e+05,0.43452,0.004266,0.05,2.9528e+05,12.447
1e+05,0.43452,0.004266,0.05,2.9528e+05,12.447
1e+05,0.43452,0.004266,0.05,2.9528e+05,12.447
1e+05,0.43452,0.004266,0.05,2.9528e+05,12.447
1e+05,0.43452,0.004266,0.05,2.9528e+05,12.447
1e+05,0.43452,0.004266,0.05,2.9528e+05,12.447
1e+05,0.43452,0.004266,0.05,2.9528e+05,12.447
1e+05,0.43452,0.004266,0.05,2.9528e+05,12.447
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.44312,0.0043505,0.05,2.9377e+05,11.715
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.45189,0.0044366,0.05,2.9198e+05,11.006
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46084,0.0045244,0.05,2.8989e+05,10.321
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.46996,0.004614,0.05,2.875e+05,9.6595
1e+05,0.47926,0.0047053,0.05,2.8481e+05,9.0227
1e+05,0.47926,0.0047053,0.05,2.8481e+05,9.0227
1e+05,0.47926,0.0047053,0.05,2.8481e+05,9.0227
1e+05,0.47926,0.0047053,0.05,2.8481e+05,9.0227
1e+05,0.47926,0.0047053,0.05,2.8481e+05,9.0227
