"ghostRank","TotalDisplacement:0","TotalDisplacement:1","TotalDisplacement:2","Velocity:0","Velocity:1","Velocity:2","Acceleration:0","Acceleration:1","Acceleration:2","externalForce:0","externalForce:1","externalForce:2","Mass","contactForce:0","contactForce:1","contactForce:2","PoromechanicsSolver_TotalDisplacement_dofIndex","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_referencePorosity","rockPorosity_porosity","rock_stress:0","rock_stress:1","rock_stress:2","rock_stress:3","rock_stress:4","rock_stress:5","water_density","PoromechanicsSolver_pressure_dofIndex","pressure","elementVolume","elementCenter:0","elementCenter:1","elementCenter:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2,0.051609,-0.0011798,-2.7146e-31,-5.6656e-11,5.0075e-10,-1.4966e-31,0,0,0,0,0,0,5.6573e+07,0,0,0,3819,1e-18,1e-18,1e-18,0.3,0.3,-6.3055e+07,-6.6894e+07,-5.9992e+07,-8.3184e-08,-8.9678e-08,5.7811e+06,1004.2,83674,1.9965e+07,39970,-104.71,-191.38,1500,1,568.11,-110.75,-192,2000
-2,0.04839,-0.0044578,2.7601e-31,1.3983e-10,3.8036e-10,1.4768e-31,0,0,0,0,0,0,8.0317e+07,0,0,0,2264,1e-18,1e-18,1e-18,0.3,0.30004,-6.0837e+07,-6.8203e+07,-5.9856e+07,-4.6997e-08,-6.9702e-08,7.0844e+06,1004,83676,1.9344e+07,40046,-108.68,-198.28,1500,1,575.04,-114.21,-198,2000
-2,0.044755,-0.0055419,2.8273e-31,3.5159e-10,1.1741e-10,1.4572e-31,0,0,0,0,0,0,1.3497e+08,0,0,0,1698,1e-18,1e-18,1e-18,0.3,0.29997,-5.9239e+07,-7.1497e+07,-6.011e+07,-5.7357e-08,-6.2532e-08,5.5358e+06,1004.3,85330,2.0503e+07,1.2036e+05,-112.65,-205.17,1500,1,581.96,-117.68,-204,2000
-2,0.041603,-0.0055803,0,4.3694e-10,-9.3472e-11,0,0,0,0,0,0,0,1.6775e+08,0,0,0,4079,1e-18,1e-18,1e-18,0.3,0.29997,-5.9239e+07,-7.1497e+07,-6.011e+07,-5.7357e-08,-6.2532e-08,5.5358e+06,1004.3,85330,2.0503e+07,1.2036e+05,-112.65,-205.17,1500,1,588.89,-121.14,-210,2000
-2,0.039783,-0.0055275,0,3.0371e-10,-9.1242e-11,0,0,0,0,0,0,0,1.6961e+08,0,0,0,4218,1e-18,1e-18,1e-18,0.3,0.3,-5.8535e+07,-7.1433e+07,-5.9995e+07,-7.2886e-08,-7.4306e-08,3.3208e+06,1004.2,85331,1.9978e+07,1.207e+05,-118.61,-215.52,1500,1,595.82,-124.6,-216,2000
-2,0.038124,-0.0054683,0,1.8814e-10,-7.6212e-11,0,0,0,0,0,0,0,1.6958e+08,0,0,0,4220,1e-18,1e-18,1e-18,0.3,0.3,-5.8873e+07,-7.1222e+07,-6.0014e+07,-6.9033e-08,-8.7863e-08,2.445e+06,1004.2,85332,2.0065e+07,1.2104e+05,-124.56,-225.86,1500,1,602.75,-128.07,-222,2000
-2,0.036746,-0.0054065,0,1.8342e-10,-6.1863e-11,0,0,0,0,0,0,0,1.6956e+08,0,0,0,4222,1e-18,1e-18,1e-18,0.3,0.3,-5.8873e+07,-7.1222e+07,-6.0014e+07,-6.9033e-08,-8.7863e-08,2.445e+06,1004.2,85332,2.0065e+07,1.2104e+05,-124.56,-225.86,1500,1,609.68,-131.53,-228,2000
-2,0.03551,-0.0053414,0,1.7127e-10,-5.0849e-11,0,0,0,0,0,0,0,1.6953e+08,0,0,0,4224,1e-18,1e-18,1e-18,0.3,0.3,-5.9009e+07,-7.1051e+07,-6.0009e+07,-6.4127e-08,-9.2322e-08,1.9141e+06,1004.2,85333,2.0041e+07,1.2138e+05,-130.52,-236.21,1500,1,616.61,-135,-234,2000
-2,0.034419,-0.0052728,2.6591e-31,1.5155e-10,-4.3246e-11,1.3468e-31,0,0,0,0,0,0,1.695e+08,0,0,0,4226,1e-18,1e-18,1e-18,0.3,0.3,-5.9009e+07,-7.1051e+07,-6.0009e+07,-6.4127e-08,-9.2322e-08,1.9141e+06,1004.2,85333,2.0041e+07,1.2138e+05,-130.52,-236.21,1500,1,623.53,-138.46,-240,2000
-2,0.033469,-0.0052014,-2.6347e-31,1.4142e-10,-3.7064e-11,-1.3293e-31,0,0,0,0,0,0,1.6948e+08,0,0,0,4228,1e-18,1e-18,1e-18,0.3,0.3,-5.9145e+07,-7.0922e+07,-6.001e+07,-5.4296e-08,-9.2759e-08,1.5624e+06,1004.2,85334,2.0045e+07,1.2172e+05,-136.48,-246.55,1500,1,630.46,-141.92,-246,2000
-2,0.032567,-0.0051291,-2.6161e-31,1.3419e-10,-3.1383e-11,-1.3119e-31,0,0,0,0,0,0,1.6945e+08,0,0,0,4230,1e-18,1e-18,1e-18,0.3,0.3,-5.9244e+07,-7.082e+07,-6.001e+07,-4.5669e-08,-8.8268e-08,1.3063e+06,1004.2,85335,2.0044e+07,1.2206e+05,-142.43,-256.9,1500,1,637.39,-145.39,-252,2000
-2,0.031796,-0.0050532,0,1.2767e-10,-2.7293e-11,0,0,0,0,0,0,0,1.6942e+08,0,0,0,4232,1e-18,1e-18,1e-18,0.3,0.3,-5.9244e+07,-7.082e+07,-6.001e+07,-4.5669e-08,-8.8268e-08,1.3063e+06,1004.2,85335,2.0044e+07,1.2206e+05,-142.43,-256.9,1500,1,644.32,-148.85,-258,2000
-2,0.03106,-0.0049762,0,1.2189e-10,-2.3514e-11,0,0,0,0,0,0,0,1.694e+08,0,0,0,4234,1e-18,1e-18,1e-18,0.3,0.3,-5.9324e+07,-7.074e+07,-6.001e+07,-4.0808e-08,-8.2244e-08,1.1107e+06,1004.2,85336,2.0044e+07,1.224e+05,-148.39,-267.24,1500,1,651.25,-152.32,-264,2000
-2,0.030395,-0.0048969,-2.6301e-31,1.1767e-10,-2.0393e-11,-1.2619e-31,0,0,0,0,0,0,1.6937e+08,0,0,0,4235,1e-18,1e-18,1e-18,0.3,0.3,-5.9324e+07,-7.074e+07,-6.001e+07,-4.0808e-08,-8.2244e-08,1.1107e+06,1004.2,85336,2.0044e+07,1.224e+05,-148.39,-267.24,1500,1,658.17,-155.78,-270,2000
-2,0.029781,-0.0048156,0,1.1403e-10,-1.7708e-11,0,0,0,0,0,0,0,1.6934e+08,0,0,0,4237,1e-18,1e-18,1e-18,0.3,0.3,-5.9389e+07,-7.0675e+07,-6.001e+07,-3.6371e-08,-7.6247e-08,9.5547e+05,1004.2,85337,2.0044e+07,1.2274e+05,-154.35,-277.59,1500,1,665.1,-159.24,-276,2000
-2,0.0292,-0.0047328,0,1.1079e-10,-1.5318e-11,0,0,0,0,0,0,0,1.6932e+08,0,0,0,4239,1e-18,1e-18,1e-18,0.3,0.3,-5.9389e+07,-7.0675e+07,-6.001e+07,-3.6371e-08,-7.6247e-08,9.5547e+05,1004.2,85337,2.0044e+07,1.2274e+05,-154.35,-277.59,1500,1,672.03,-162.71,-282,2000
-2,0.02868,-0.0046469,0,1.0828e-10,-1.3387e-11,0,0,0,0,0,0,0,1.6929e+08,0,0,0,4241,1e-18,1e-18,1e-18,0.3,0.3,-5.9442e+07,-7.0622e+07,-6.001e+07,-3.2695e-08,-6.9577e-08,8.2894e+05,1004.2,85338,2.0044e+07,1.2308e+05,-160.3,-287.93,1500,1,678.96,-166.17,-288,2000
-2,0.028177,-0.0045601,0,1.0596e-10,-1.1581e-11,0,0,0,0,0,0,0,1.6926e+08,0,0,0,4243,1e-18,1e-18,1e-18,0.3,0.3,-5.9485e+07,-7.0578e+07,-6.001e+07,-3.1092e-08,-6.3179e-08,7.2355e+05,1004.2,85339,2.0044e+07,1.2342e+05,-166.26,-298.28,1500,1,685.89,-169.64,-294,2000
-2,0.027723,-0.0044702,-2.7571e-31,1.0411e-10,-1.0115e-11,-1.1834e-31,0,0,0,0,0,0,1.6924e+08,0,0,0,4245,1e-18,1e-18,1e-18,0.3,0.3,-5.9485e+07,-7.0578e+07,-6.001e+07,-3.1092e-08,-6.3179e-08,7.2355e+05,1004.2,85339,2.0044e+07,1.2342e+05,-166.26,-298.28,1500,1,692.82,-173.1,-300,2000
