r[m]	u[m]
1.5231707	-8.33445E-06
1.52656565	-7.73042E-06
1.5299606	-7.12776E-06
1.53335555	-6.52646E-06
1.5367505	-5.92653E-06
1.54014545	-5.32794E-06
1.5435404	-4.7307E-06
1.54693535	-4.13479E-06
1.5503303	-3.5402E-06
1.55372525	-2.94693E-06
1.5571202	-2.35497E-06
1.56051515	-1.7643E-06
1.5639101	-1.17492E-06
1.56730505	-5.86824E-07
1.5707	1.35525E-20

