injectionRate,pressure,time
0.0,2360.65552,88.625
0.0,2360.65527,88.75
0.0,2360.65503,88.875
0.0,2360.65527,89.0
0.0,2360.65527,89.125
0.0,2360.65527,89.25
0.0,2360.65527,89.375
0.0,2360.65527,89.5
0.0,2360.65552,89.625
0.0,2360.65576,89.75
0.0,2360.65601,89.875
0.0,2360.65625,90.0
0.0,2360.65601,90.125
0.0,2360.65527,90.25
0.0,2360.65454,90.375
0.0,2360.6543,90.5
0.0,2360.65454,90.625
0.0,2360.65527,90.75
0.0,2360.65625,90.875
0.0,2360.65625,91.0
0.0,2360.65625,91.125
0.0,2360.65552,91.25
0.0,2360.65479,91.375
0.0,2360.6543,91.5
0.0,2360.65454,91.625
0.0,2360.65479,91.75
0.0,2360.65552,91.875
0.0,2360.65576,92.0
0.0,2360.65552,92.125
0.0,2360.65527,92.25
0.0,2360.65479,92.375
0.0,2360.6543,92.5
0.0,2360.65479,92.625
0.0,2360.65503,92.75
0.0,2360.65527,92.875
0.0,2360.65527,93.0
0.0,2360.65503,93.125
0.0,2360.6543,93.25
0.0,2360.65381,93.375
0.0,2360.65356,93.5
0.0,2360.65381,93.625
0.0,2360.6543,93.75
0.0,2360.65503,93.875
0.0,2360.65576,94.0
0.0,2360.65601,94.125
0.0,2360.65601,94.25
0.0,2360.65576,94.375
0.0,2360.65527,94.5
0.0,2360.65479,94.625
0.0,2360.6543,94.75
0.0,2360.6543,94.875
0.0,2360.65479,95.0
0.0,2360.65527,95.125
0.0,2360.65527,95.25
0.0,2360.65527,95.375
0.0,2360.65527,95.5
0.0,2360.65503,95.625
0.0,2360.65503,95.75
0.0,2360.65503,95.875
0.0,2360.65527,96.0
0.0,2360.65527,96.125
0.0,2360.65601,96.25
0.0,2360.65747,96.375
0.0,2360.65918,96.5
0.0,2360.6604,96.625
0.0,2360.66064,96.75
0.0,2360.66211,96.875
0.0,2360.66602,97.0
0.0,2360.67578,97.125
0.0,2360.69092,97.25
0.0,2360.71021,97.375
0.0,2360.73096,97.5
0.0,2360.74878,97.625
0.0,2360.76294,97.75
0.0,2360.77295,97.875
0.0,2360.7793,98.0
0.0,2360.7832,98.125
0.0,2360.78564,98.25
0.0,2360.78711,98.375
0.0,2360.78809,98.5
0.0,2360.78857,98.625
0.0,2360.78955,98.75
0.0,2360.79053,98.875
0.0,2360.79175,99.0
0.0,2360.79346,99.125
0.0,2360.79541,99.25
0.0,2360.79834,99.375
0.0,2360.80127,99.5
0.0,2360.8042,99.625
0.0,2360.80664,99.75
0.0,2360.80859,99.875
0.0,2360.80957,100.0
0.0,2360.80957,100.125
0.0,2360.80859,100.25
0.0,2360.80762,100.375
0.0,2360.8064,100.5
0.0,2360.80566,100.625
0.0,2360.80518,100.75
0.0,2360.80518,100.875
0.0,2360.80518,101.0
0.0,2360.80493,101.125
0.0,2360.80493,101.25
0.0,2360.80493,101.375
0.0,2360.80493,101.5
0.0,2360.80493,101.625
0.0,2360.80469,101.75
0.0,2360.80469,101.875
0.0,2360.80444,102.0
0.0,2360.80396,102.125
0.0,2360.80273,102.25
0.0,2360.7998,102.375
0.0,2360.79565,102.5
0.0,2360.78979,102.625
0.0,2360.78345,102.75
0.0,2360.77783,102.875
0.0,2360.77417,103.0
0.0,2360.77222,103.125
0.0,2360.77197,103.25
0.0,2360.77222,103.375
0.0,2360.77271,103.5
0.0,2360.77295,103.625
0.0,2360.77344,103.75
0.0,2360.77393,103.875
0.0,2360.77466,104.0
0.0,2360.77539,104.125
0.0,2360.77637,104.25
0.0,2360.77734,104.375
0.0,2360.77881,104.5
0.0,2360.78076,104.625
0.0,2360.78247,104.75
0.0,2360.78442,104.875
0.0,2360.78491,105.0
0.0,2360.78418,105.125
0.0,2360.78174,105.25
0.0,2360.77905,105.375
0.0,2360.77661,105.5
0.0,2360.77539,105.625
0.0,2360.77637,105.75
0.0,2360.77856,105.875
0.0,2360.78149,106.0
0.0,2360.78467,106.125
0.0,2360.78711,106.25
0.0,2360.78906,106.375
0.0,2360.79028,106.5
0.0,2360.79126,106.625
0.0,2360.79248,106.75
0.0,2360.79346,106.875
0.0,2360.79443,107.0
0.0,2360.79492,107.125
0.0,2360.79517,107.25
0.0,2360.79492,107.375
0.0,2360.79565,107.5
0.0,2360.79663,107.625
0.0,2360.79907,107.75
0.0,2360.80273,107.875
0.0,2360.80762,108.0
0.0,2360.83057,108.125
0.0,2360.93848,108.25
0.0,2361.22705,108.375
0.0,2361.76343,108.5
0.0,2362.53369,108.625
0.0,2363.43359,108.75
0.0,2364.302,108.875
0.0,2364.98999,109.0
0.0,2365.41992,109.125
0.0,2365.60791,109.25
0.0,2365.6394,109.375
0.0,2365.6123,109.5
0.0,2365.58105,109.625
0.0,2365.55542,109.75
0.0,2365.53345,109.875
0.0,2365.51416,110.0
0.0,2365.49658,110.125
0.0,2365.48022,110.25
0.0,2365.46436,110.375
0.0,2365.44946,110.5
0.0,2365.43628,110.625
0.0,2365.42505,110.75
0.0,2365.41602,110.875
0.0,2365.40845,111.0
0.0,2365.40161,111.125
0.0,2365.39502,111.25
0.0,2365.38745,111.375
0.0,2365.37915,111.5
0.0,2365.37012,111.625
0.0,2365.36011,111.75
0.0,2365.35059,111.875
0.0,2365.34082,112.0
0.0,2365.33179,112.125
0.0,2365.32349,112.25
0.0,2365.31519,112.375
0.0,2365.30762,112.5
0.0,2365.30005,112.625
0.0,2365.29346,112.75
0.0,2365.28735,112.875
0.0,2365.28223,113.0
0.0,2365.27734,113.125
0.0,2365.27246,113.25
0.0,2365.26685,113.375
0.0,2365.2605,113.5
0.0,2365.25391,113.625
0.0,2365.24731,113.75
0.0,2365.24146,113.875
0.0,2365.23779,114.0
0.0,2365.23877,114.125
0.0,2365.24512,114.25
0.0,2365.25635,114.375
0.0,2365.27051,114.5
0.0,2365.28442,114.625
0.0,2365.29419,114.75
0.0,2365.29883,114.875
0.0,2365.29834,115.0
0.0,2365.29443,115.125
0.0,2365.29004,115.25
0.0,2365.28613,115.375
0.0,2365.28198,115.5
0.0,2365.27783,115.625
0.0,2365.27417,115.75
0.0,2365.27002,115.875
0.0,2365.26636,116.0
0.0,2365.26318,116.125
0.0,2365.26025,116.25
0.0,2365.25708,116.375
0.0,2365.25317,116.5
0.0,2365.2478,116.625
0.0,2365.24121,116.75
0.0,2365.23438,116.875
0.0,2365.22803,117.0
0.0,2365.22314,117.125
0.0,2365.22021,117.25
0.0,2365.21875,117.375
0.0,2365.21777,117.5
0.0,2365.21606,117.625
0.0,2365.21411,117.75
0.0,2365.21191,117.875
0.0,2365.20996,118.0
0.0,2365.20801,118.125
0.0,2365.20654,118.25
0.0,2365.20435,118.375
0.0,2365.20215,118.5
0.0,2365.19897,118.625
0.0,2365.19556,118.75
0.0,2365.19214,118.875
0.0,2365.18896,119.0
0.0,2365.18701,119.125
0.0,2365.18506,119.25
0.0,2365.18408,119.375
0.0,2365.18311,119.5
0.0,2365.18237,119.625
0.0,2365.18115,119.75
0.0,2365.17944,119.875
0.0,2365.17676,120.0
0.0,2365.17358,120.125
0.0,2365.17041,120.25
0.0,2365.16675,120.375
0.0,2365.16309,120.5
0.0,2365.16016,120.625
0.0,2365.15747,120.75
0.0,2365.15454,120.875
0.0,2365.1521,121.0
0.0,2365.14966,121.125
0.0,2365.14771,121.25
0.0,2365.146,121.375
0.0,2365.14404,121.5
0.0,2365.14185,121.625
0.0,2365.13916,121.75
0.0,2365.13599,121.875
0.0,2365.13257,122.0
0.0,2365.12915,122.125
0.0,2365.12598,122.25
0.0,2365.12305,122.375
0.0,2365.12061,122.5
0.0,2365.11841,122.625
0.0,2365.11694,122.75
0.0,2365.11572,122.875
0.0,2365.11426,123.0
0.0,2365.11279,123.125
0.0,2365.11133,123.25
0.0,2365.10986,123.375
0.0,2365.10815,123.5
0.0,2365.1062,123.625
0.0,2365.10425,123.75
0.0,2365.10205,123.875
0.0,2365.09985,124.0
0.0,2365.09814,124.125
0.0,2365.09619,124.25
0.0,2365.09521,124.375
0.0,2365.09668,124.5
