"ghostRank","totalDisplacement:0","totalDisplacement:1","totalDisplacement:2","mass","externalForce:0","externalForce:1","externalForce:2","poromechanicsSolver_totalDisplacement_dofIndex","rockPerm_permeability:0","rockPerm_permeability:1","rockPerm_permeability:2","rockPorosity_referencePorosity","rockPorosity_porosity","rock_stress:0","rock_stress:1","rock_stress:2","rock_stress:3","rock_stress:4","rock_stress:5","water_density","temperature","pressure","elementVolume","deltaPressure","elementCenter:0","elementCenter:1","elementCenter:2","poromechanicsSolver_primaryVariables_dofIndex","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2,0.22555,0.12572,0,1.7168e+08,0,0,0,2862,1e-18,1e-18,1e-18,0.3,0.29998,-2.9955e+07,-3.7416e+07,-2.8555e+07,-2.0792e-08,4.776e-08,-1.9027e+06,1007.4,0,3.5255e+07,1.0588e+05,2.5494e+05,141.5,236.21,1500,88719,1,69.282,138.66,240,2000
-2,0.2261,0.12613,-1.452e-30,1.7166e+08,0,0,0,2864,1e-18,1e-18,1e-18,0.3,0.29998,-2.9955e+07,-3.7416e+07,-2.8555e+07,-2.0792e-08,4.776e-08,-1.9027e+06,1007.4,0,3.5255e+07,1.0588e+05,2.5494e+05,141.5,236.21,1500,88719,1,76.21,135.2,234,2000
-2,0.22669,0.12654,0,1.7163e+08,0,0,0,2866,1e-18,1e-18,1e-18,0.3,0.29998,-3e+07,-3.7352e+07,-2.8552e+07,-2.2269e-08,4.9078e-08,-2.0253e+06,1007.4,0,3.5241e+07,1.0622e+05,2.4133e+05,135.55,225.86,1500,88720,1,83.138,131.73,228,2000
-2,0.22732,0.12696,0,1.716e+08,0,0,0,2868,1e-18,1e-18,1e-18,0.3,0.29998,-3e+07,-3.7352e+07,-2.8552e+07,-2.2269e-08,4.9078e-08,-2.0253e+06,1007.4,0,3.5241e+07,1.0622e+05,2.4133e+05,135.55,225.86,1500,88720,1,90.066,128.27,222,2000
-2,0.22802,0.12737,7.2601e-31,1.7157e+08,0,0,0,2870,1e-18,1e-18,1e-18,0.3,0.29999,-3.0052e+07,-3.728e+07,-2.8549e+07,-2.3622e-08,5.0114e-08,-2.1574e+06,1007.4,0,3.5228e+07,1.0656e+05,2.2818e+05,129.59,215.52,1500,88721,1,96.994,124.8,216,2000
-2,0.22875,0.12778,7.2597e-31,1.6964e+08,0,0,0,2779,1e-18,1e-18,1e-18,0.3,0.29999,-3.0113e+07,-3.72e+07,-2.8547e+07,-2.6463e-08,5.1104e-08,-2.3009e+06,1007.4,0,3.5215e+07,1.069e+05,2.1547e+05,123.63,205.17,1500,88722,1,103.92,121.34,210,2000
-2,0.22957,0.12819,0,1.3646e+08,0,0,0,1161,1e-18,1e-18,1e-18,0.3,0.29999,-3.0113e+07,-3.72e+07,-2.8547e+07,-2.6463e-08,5.1104e-08,-2.3009e+06,1007.4,0,3.5215e+07,1.069e+05,2.1547e+05,123.63,205.17,1500,88722,1,110.85,117.88,204,2000
-2,0.23041,0.1286,0,8.1176e+07,0,0,0,1827,1e-18,1e-18,1e-18,0.3,0.29999,-3.0159e+07,-3.7142e+07,-2.8545e+07,-2.8311e-08,5.1433e-08,-2.4036e+06,1007.4,0,3.5207e+07,35709,2.0663e+05,119.66,198.28,1500,93740,1,117.78,114.41,198,2000
-2,0.23133,0.12901,0,5.7154e+07,0,0,0,3094,1e-18,1e-18,1e-18,0.3,0.29999,-3.0211e+07,-3.7077e+07,-2.8543e+07,-2.7818e-08,5.2196e-08,-2.5139e+06,1007.4,0,3.5199e+07,35784,1.9861e+05,115.69,191.38,1500,93742,1,124.71,110.95,192,2000
-2,0.23232,0.12942,7.2767e-31,5.7145e+07,0,0,0,3098,1e-18,1e-18,1e-18,0.3,0.29999,-3.027e+07,-3.7007e+07,-2.8541e+07,-2.6509e-08,5.3491e-08,-2.6324e+06,1007.4,0,3.5191e+07,35860,1.9077e+05,111.72,184.48,1500,93744,1,131.63,107.48,186,2000
