Var1	Var2
-221.235617808904	-1455485.84412122
-220.985492746373	-1460306.98936792
-220.735367683842	-1465155.32703126
-220.485242621311	-1470031.08502071
-220.235117558779	-1474934.49385337
-219.984992496248	-1479865.78669231
-219.734867433717	-1484825.19938572
-219.484742371186	-1489812.97050667
-219.234617308654	-1494829.34139367
-218.984492246123	-1499874.55619199
-218.734367183592	-1504948.86189562
-218.484242121061	-1510052.50839018
-218.234117058529	-1515185.74849647
-217.983991995998	-1520348.83801492
-217.733866933467	-1525542.03577086
-217.483741870935	-1530765.60366061
-217.233616808404	-1536019.80669844
-216.983491745873	-1541304.91306446
-216.733366683342	-1546621.19415337
-216.48324162081	-1551968.92462414
-216.233116558279	-1557348.38245071
-215.982991495748	-1562759.84897353
-215.732866433217	-1568203.60895221
-215.482741370685	-1573679.95061915
-215.232616308154	-1579189.16573418
-214.982491245623	-1584731.5496403
-214.732366183092	-1590307.40132046
-214.48224112056	-1595917.02345554
-214.232116058029	-1601560.72248338
-213.981990995498	-1607238.80865901
-213.731865932966	-1612951.59611611
-213.481740870435	-1618699.40292961
-213.231615807904	-1624482.55117962
-212.981490745373	-1630301.3670166
-212.731365682841	-1636156.18072787
-212.48124062031	-1642047.32680541
-212.231115557779	-1647975.1440151
-211.980990495248	-1653939.97546735
-211.730865432716	-1659942.16868912
-211.480740370185	-1665982.07569752
-211.230615307654	-1672060.05307482
-210.980490245123	-1678176.46204511
-210.730365182591	-1684331.66855244
-210.48024012006	-1690526.04334073
-210.230115057529	-1696759.96203523
-209.979989994998	-1703033.80522573
-209.729864932466	-1709347.95855158
-209.479739869935	-1715702.81278844
-209.229614807404	-1722098.7639369
-208.979489744872	-1728536.21331302
-208.729364682341	-1735015.56764078
-208.47923961981	-1741537.23914651
-208.229114557279	-1748101.64565546
-207.978989494747	-1754709.21069031
-207.728864432216	-1761360.36357198
-207.478739369685	-1768055.53952254
-207.228614307154	-1774795.17977046
-206.978489244622	-1781579.73165816
-206.728364182091	-1788409.64875192
-206.47823911956	-1795285.39095429
-206.228114057029	-1802207.42461896
-205.977988994497	-1809176.22266827
-205.727863931966	-1816192.26471335
-205.477738869435	-1823256.03717699
-205.227613806903	-1830368.03341927
-204.977488744372	-1837528.75386612
-204.727363681841	-1844738.70614084
-204.47723861931	-1851998.40519861
-204.227113556778	-1859308.37346413
-203.976988494247	-1866669.14097249
-203.726863431716	-1874081.24551337
-203.476738369185	-1881545.23277853
-203.226613306653	-1889061.65651286
-202.976488244122	-1896631.07866902
-202.726363181591	-1904254.06956575
-202.47623811906	-1911931.20804992
-202.226113056528	-1919663.08166259
-201.975987993997	-1927450.28680897
-201.725862931466	-1935293.4289326
-201.475737868934	-1943193.12269373
-201.225612806403	-1951149.99215209
-200.975487743872	-1959164.67095419
-200.725362681341	-1967237.80252517
-200.475237618809	-1975370.04026556
-200.225112556278	-1983562.04775284
-199.974987493747	-1991814.49894814
-199.724862431216	-2000128.0784081
-199.474737368684	-2008503.48150218
-199.224612306153	-2016941.41463542
-198.974487243622	-2025442.59547701
-198.724362181091	-2034007.75319468
-198.474237118559	-2042637.62869516
-198.224112056028	-2051332.97487094
-197.973986993497	-2060094.55685346
-197.723861930965	-2068923.15227294
-197.473736868434	-2077819.5515251
-197.223611805903	-2086784.55804495
-196.973486743372	-2095818.98858793
-196.72336168084	-2104923.67351854
-196.473236618309	-2114099.45710677
-196.223111555778	-2123347.19783264
-195.972986493247	-2132667.76869895
-195.722861430715	-2142062.05755267
-195.472736368184	-2151530.96741515
-195.222611305653	-2161075.41682154
-194.972486243122	-2170696.3401696
-194.72236118059	-2180394.68807834
-194.472236118059	-2190171.42775674
-194.222111055528	-2200027.54338292
-193.971985992997	-2209964.03649413
-193.721860930465	-2219981.92638787
-193.471735867934	-2230082.25053468
-193.221610805403	-2240266.06500273
-192.971485742871	-2250534.44489493
-192.72136068034	-2260888.48479877
-192.471235617809	-2271329.29924947
-192.221110555278	-2281858.02320684
-191.970985492746	-2292475.81254638
-191.720860430215	-2303183.84456511
-191.470735367684	-2313983.31850266
-191.220610305153	-2324875.45607823
