[2018-09-10 12:08:28] DEBUG:   MeshVersionFormatted 2 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   Dimension 3 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   RequiredVertices is ignored
[2018-09-10 12:08:28] DEBUG:   0 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   Edges is ignored
[2018-09-10 12:08:28] DEBUG:   516 is ignored
[2018-09-10 12:08:28] DEBUG:   272 273 123  is ignored
[2018-09-10 12:08:28] DEBUG:   276 275 123  is ignored
[2018-09-10 12:08:28] DEBUG:   993 269 123  is ignored
[2018-09-10 12:08:28] DEBUG:   275 993 123  is ignored
[2018-09-10 12:08:28] DEBUG:   994 275 123  is ignored
[2018-09-10 12:08:28] DEBUG:   277 278 123  is ignored
[2018-09-10 12:08:28] DEBUG:   279 280 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1000 1001 123  is ignored
[2018-09-10 12:08:28] DEBUG:   283 1000 123  is ignored
[2018-09-10 12:08:28] DEBUG:   286 285 123  is ignored
[2018-09-10 12:08:28] DEBUG:   285 280 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1002 284 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1001 1002 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1004 287 123  is ignored
[2018-09-10 12:08:28] DEBUG:   287 290 123  is ignored
[2018-09-10 12:08:28] DEBUG:   294 293 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1005 1004 123  is ignored
[2018-09-10 12:08:28] DEBUG:   289 1005 123  is ignored
[2018-09-10 12:08:28] DEBUG:   293 290 123  is ignored
[2018-09-10 12:08:28] DEBUG:   287 288 123  is ignored
[2018-09-10 12:08:28] DEBUG:   302 298 123  is ignored
[2018-09-10 12:08:28] DEBUG:   298 297 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1021 1020 123  is ignored
[2018-09-10 12:08:28] DEBUG:   300 296 123  is ignored
[2018-09-10 12:08:28] DEBUG:   301 1021 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1020 300 123  is ignored
[2018-09-10 12:08:28] DEBUG:   306 304 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1025 305 123  is ignored
[2018-09-10 12:08:28] DEBUG:   309 306 123  is ignored
[2018-09-10 12:08:28] DEBUG:   310 309 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1026 1025 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1027 1026 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1028 308 123  is ignored
[2018-09-10 12:08:28] DEBUG:   308 1027 123  is ignored
[2018-09-10 12:08:28] DEBUG:   307 1028 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1030 311 123  is ignored
[2018-09-10 12:08:28] DEBUG:   315 316 123  is ignored
[2018-09-10 12:08:28] DEBUG:   314 315 123  is ignored
[2018-09-10 12:08:28] DEBUG:   313 1030 123  is ignored
[2018-09-10 12:08:28] DEBUG:   316 313 123  is ignored
[2018-09-10 12:08:28] DEBUG:   318 1034 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1034 313 123  is ignored
[2018-09-10 12:08:28] DEBUG:   320 319 123  is ignored
[2018-09-10 12:08:28] DEBUG:   320 325 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1040 1039 123  is ignored
[2018-09-10 12:08:28] DEBUG:   323 1042 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1042 1041 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1041 1040 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1039 324 123  is ignored
[2018-09-10 12:08:28] DEBUG:   327 248 123  is ignored
[2018-09-10 12:08:28] DEBUG:   329 330 123  is ignored
[2018-09-10 12:08:28] DEBUG:   332 329 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1046 328 123  is ignored
[2018-09-10 12:08:28] DEBUG:   330 1049 123  is ignored
[2018-09-10 12:08:28] DEBUG:   328 329 123  is ignored
[2018-09-10 12:08:28] DEBUG:   248 1046 123  is ignored
[2018-09-10 12:08:28] DEBUG:   332 1050 123  is ignored
[2018-09-10 12:08:28] DEBUG:   333 1050 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1049 331 123  is ignored
[2018-09-10 12:08:28] DEBUG:   336 340 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1060 339 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1060 340 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1055 337 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1054 1055 123  is ignored
[2018-09-10 12:08:28] DEBUG:   342 346 123  is ignored
[2018-09-10 12:08:28] DEBUG:   344 347 123  is ignored
[2018-09-10 12:08:28] DEBUG:   351 352 123  is ignored
[2018-09-10 12:08:28] DEBUG:   348 344 123  is ignored
[2018-09-10 12:08:28] DEBUG:   351 1068 123  is ignored
