time,p_zh0p0,p_zh0p6,p_zh0p8,T_zh0p0,T_zh0p6,T_zh0p8,disp_1p4m,disp_4p2m,disp_7m,sxx_0m,sxx_4p2m,sxx_5p6m,syy
1.83073828e+00,9.88023952e-01,9.88023952e-01,9.86881173e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217565e-06,2.89591860e-05,-9.96007984e-01,-9.96007984e-01,-9.95627058e-01,-1.00000000e+00
2.15443469e+00,9.88023952e-01,9.88023950e-01,9.85320154e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217566e-06,3.08622204e-05,-9.96007984e-01,-9.96007983e-01,-9.95106718e-01,-1.00000000e+00
2.53536449e+00,9.88023952e-01,9.88023918e-01,9.82352065e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217588e-06,3.29266505e-05,-9.96007984e-01,-9.96007973e-01,-9.94117355e-01,-1.00000000e+00
2.98364724e+00,9.88023952e-01,9.88023593e-01,9.77285710e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91217847e-06,3.51661642e-05,-9.96007984e-01,-9.96007864e-01,-9.92428570e-01,-1.00000000e+00
3.51119173e+00,9.88023952e-01,9.88021253e-01,9.69397165e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91220039e-06,3.75956102e-05,-9.96007984e-01,-9.96007084e-01,-9.89799055e-01,-1.00000000e+00
4.13201240e+00,9.88023952e-01,9.88008794e-01,9.58039210e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91233722e-06,4.02310966e-05,-9.96007984e-01,-9.96002931e-01,-9.86013070e-01,-1.00000000e+00
4.86260158e+00,9.88023952e-01,9.87957599e-01,9.42740431e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91299699e-06,4.30900977e-05,-9.96007984e-01,-9.95985866e-01,-9.80913477e-01,-1.00000000e+00
5.72236766e+00,9.88023952e-01,9.87788923e-01,9.23270043e-01,2.73150000e+02,2.73150000e+02,2.73150000e+02,1.30405855e-06,3.91554847e-06,4.61915697e-05,-9.96007984e-01,-9.95929641e-01,-9.74423348e-01,-1.00000000e+00
6.73415066e+00,9.88023952e-01,9.87328743e-01,8.99658433e-01,2.73150000e+02,2.73150000e+02,2.73150003e+02,1.30405855e-06,3.92372163e-06,4.95560764e-05,-9.96007984e-01,-9.95776248e-01,-9.66552821e-01,-1.00000000e+00
7.92482898e+00,9.88023952e-01,9.86260031e-01,8.72177065e-01,2.73150000e+02,2.73150000e+02,2.73150033e+02,1.30405855e-06,3.94601524e-06,5.32059256e-05,-9.96007984e-01,-9.95420010e-01,-9.57392454e-01,-1.00000000e+00
9.32603347e+00,9.88023952e-01,9.84096656e-01,8.41289927e-01,2.73150000e+02,2.73150000e+02,2.73150228e+02,1.30405866e-06,3.99903367e-06,5.71653173e-05,-9.96007984e-01,-9.94698885e-01,-9.47097325e-01,-1.00000000e+00
1.09749877e+01,9.88023952e-01,9.80201408e-01,8.07591207e-01,2.73150000e+02,2.73150000e+02,2.73151190e+02,1.30406017e-06,4.11121207e-06,6.14605035e-05,-9.96007984e-01,-9.93400469e-01,-9.35867304e-01,-1.00000000e+00
1.29154967e+01,9.88023950e-01,9.73854119e-01,7.71741948e-01,2.73150000e+02,2.73150000e+02,2.73154898e+02,1.30407539e-06,4.32606037e-06,6.61199630e-05,-9.96007983e-01,-9.91284706e-01,-9.23928677e-01,-1.00000000e+00
1.51991108e+01,9.88023917e-01,9.64354354e-01,7.34414392e-01,2.73150000e+02,2.73150000e+02,2.73166469e+02,1.30418577e-06,4.70407124e-06,7.11745895e-05,-9.96007972e-01,-9.88118118e-01,-9.11520870e-01,-1.00000000e+00
1.78864953e+01,9.88023546e-01,9.51129513e-01,6.96248569e-01,2.73150000e+02,2.73150000e+02,2.73196600e+02,1.30479056e-06,5.32279538e-06,7.66578970e-05,-9.96007849e-01,-9.83709838e-01,-8.98889324e-01,-1.00000000e+00
2.10490414e+01,9.88020634e-01,9.33819510e-01,6.57822407e-01,2.73150000e+02,2.73150000e+02,2.73263855e+02,1.30739925e-06,6.27510205e-06,8.26062419e-05,-9.96006878e-01,-9.77939837e-01,-8.86282366e-01,-1.00000000e+00
2.47707636e+01,9.88003962e-01,9.12320429e-01,6.19634534e-01,2.73150000e+02,2.73150001e+02,2.73395465e+02,1.31657057e-06,7.66608608e-06,8.90590638e-05,-9.96001321e-01,-9.70773479e-01,-8.73947905e-01,-1.00000000e+00
2.91505306e+01,9.87931038e-01,8.86784226e-01,5.82097685e-01,2.73150000e+02,2.73150011e+02,2.73625695e+02,1.34364188e-06,9.60931207e-06,9.60591471e-05,-9.95977013e-01,-9.62261441e-01,-8.62126313e-01,-1.00000000e+00
3.43046929e+01,9.87677619e-01,8.57583019e-01,5.45540117e-01,2.73150000e+02,2.73150087e+02,2.73991745e+02,1.41243217e-06,1.22230839e-05,1.03652905e-04,-9.95892540e-01,-9.52527935e-01,-8.51038608e-01,-1.00000000e+00
4.03701726e+01,9.86954060e-01,8.25252042e-01,5.10212287e-01,2.73150000e+02,2.73150524e+02,2.74528250e+02,1.56609865e-06,1.56272577e-05,1.11890687e-04,-9.95651353e-01,-9.41752254e-01,-8.40872179e-01,-1.00000000e+00
4.75081016e+01,9.85207153e-01,7.90425256e-01,4.76296369e-01,2.73150000e+02,2.73152429e+02,2.75261937e+02,1.87314178e-06,1.99408581e-05,1.20827112e-04,-9.95069051e-01,-9.30149040e-01,-8.31767934e-01,-1.00000000e+00
5.59081018e+01,9.81551858e-01,7.53773758e-01,4.43916659e-01,2.73150000e+02,2.73159029e+02,2.76207802e+02,2.42982458e-06,2.52804641e-05,1.30521432e-04,-9.93850619e-01,-9.17951674e-01,-8.23812292e-01,-1.00000000e+00
6.57933225e+01,9.74781911e-01,7.15950976e-01,4.13149201e-01,2.73150000e+02,2.73177825e+02,2.77367502e+02,3.35659696e-06,3.17590073e-05,1.41037920e-04,-9.91593970e-01,-9.05400468e-01,-8.17035572e-01,-1.00000000e+00
7.74263683e+01,9.63481754e-01,6.77542053e-01,3.84028354e-01,2.73150000e+02,2.73223106e+02,2.78729926e+02,4.78767417e-06,3.94842353e-05,1.52446268e-04,-9.87827251e-01,-8.92733336e-01,-8.11415896e-01,-1.00000000e+00
9.11162756e+01,9.46219147e-01,6.39011242e-01,3.56546048e-01,2.73150000e+02,2.73317677e+02,2.80273401e+02,6.85520752e-06,4.85556856e-05,1.64821859e-04,-9.82073049e-01,-8.80173445e-01,-8.06885551e-01,-1.00000000e+00
1.07226722e+02,9.21764598e-01,6.00645555e-01,3.30638136e-01,2.73150000e+02,2.73492553e+02,2.81968774e+02,9.67147469e-06,5.90588280e-05,1.78245386e-04,-9.73921533e-01,-8.67909509e-01,-8.03335701e-01,-1.00000000e+00
1.26185688e+02,8.89277215e-01,5.62505636e-01,3.06156723e-01,2.73150000e+02,2.73784054e+02,2.83782693e+02,1.33132510e-05,7.10554910e-05,1.92800372e-04,-9.63092405e-01,-8.56070708e-01,-8.00616988e-01,-1.00000000e+00
1.48496826e+02,8.48414806e-01,5.24407806e-01,2.82840565e-01,2.73150001e+02,2.74228851e+02,2.85680558e+02,1.78117179e-05,8.45708777e-05,2.08565861e-04,-9.49471605e-01,-8.44705822e-01,-7.98538529e-01,-1.00000000e+00
1.74752840e+02,7.99355563e-01,4.85962917e-01,2.60309700e-01,2.73150012e+02,2.74858341e+02,2.87628881e+02,2.31493625e-05,9.95787686e-05,2.25600887e-04,-9.33118557e-01,-8.33779330e-01,-7.96873210e-01,-1.00000000e+00
2.05651231e+02,7.42745888e-01,4.46682751e-01,2.38109259e-01,2.73150105e+02,2.75693908e+02,2.89596955e+02,2.92630638e-05,1.15986907e-04,2.43918737e-04,-9.14248945e-01,-8.23192641e-01,-7.95377286e-01,-1.00000000e+00
2.42012826e+02,6.79607595e-01,4.06137772e-01,2.15804099e-01,2.73150681e+02,2.76744134e+02,2.91557869e+02,3.60505713e-05,1.33623806e-04,2.63452805e-04,-8.93204574e-01,-8.12828325e-01,-7.93824973e-01,-1.00000000e+00
2.84803587e+02,6.11245778e-01,3.64124312e-01,1.93094537e-01,2.73153356e+02,2.78004292e+02,2.93488975e+02,4.33764565e-05,1.52227267e-04,2.84020455e-04,-8.70425327e-01,-8.02604313e-01,-7.92048436e-01,-1.00000000e+00
3.35160265e+02,5.39192187e-01,3.20790211e-01,1.69908215e-01,2.73163152e+02,2.79457800e+02,2.95371950e+02,5.10741701e-05,1.71435084e-04,3.05294010e-04,-8.46436852e-01,-7.92520136e-01,-7.89968589e-01,-1.00000000e+00
3.94420606e+02,4.65194096e-01,2.76683290e-01,1.46435389e-01,2.73192401e+02,2.81078945e+02,2.97192577e+02,5.89435792e-05,1.90780239e-04,3.26787406e-04,-8.21858569e-01,-7.82681264e-01,-7.87606193e-01,-1.00000000e+00
4.64158883e+02,3.91222899e-01,2.32717737e-01,1.23103723e-01,2.73265766e+02,2.82836146e+02,2.98940346e+02,6.67473538e-05,2.09695342e-04,3.47864170e-04,-7.97421597e-01,-7.73297682e-01,-7.85072280e-01,-1.00000000e+00
5.46227722e+02,3.19451682e-01,1.90077892e-01,1.00511579e-01,2.73424356e+02,2.84695163e+02,3.00607988e+02,7.42124025e-05,2.27532504e-04,3.67769524e-04,-7.73973628e-01,-7.64661453e-01,-7.82544491e-01,-1.00000000e+00
