time,p_0m,p_4p2m,p_5p6m,T_0m,T_4p2m,T_5p6m,disp_1p4m,disp_4p2m,disp_7m,sxx_0m,sxx_4p2m,sxx_5p6m,syy_0m
9.10000000e+01,9.54152477e-01,6.34356337e-01,3.44127448e-01,2.72998922e+02,2.73217337e+02,2.80764514e+02,5.99641310e-06,4.62962889e-05,1.62633956e-04,-9.84713465e-01,-8.84259566e-01,-8.08324062e-01,-1.00000000e+00
9.30000000e+01,9.51234425e-01,6.29070776e-01,3.40586682e-01,2.72998853e+02,2.73238241e+02,2.80989084e+02,6.33704722e-06,4.76515008e-05,1.64420516e-04,-9.83740524e-01,-8.82535702e-01,-8.07694999e-01,-1.00000000e+00
9.50000000e+01,9.48250227e-01,6.23902760e-01,3.37150714e-01,2.72998783e+02,2.73260239e+02,2.81211324e+02,6.68381011e-06,4.90035826e-05,1.66187818e-04,-9.82745530e-01,-8.80852780e-01,-8.07098039e-01,-1.00000000e+00
9.70000000e+01,9.45203001e-01,6.18847647e-01,3.33814241e-01,2.72998711e+02,2.73283330e+02,2.81431205e+02,7.03637859e-06,5.03522893e-05,1.67936462e-04,-9.81729520e-01,-8.79209358e-01,-8.06531155e-01,-1.00000000e+00
9.90000000e+01,9.42095814e-01,6.13900999e-01,3.30572308e-01,2.72998638e+02,2.73307510e+02,2.81648705e+02,7.39443746e-06,5.16973957e-05,1.69667015e-04,-9.80693518e-01,-8.77604047e-01,-8.05992468e-01,-1.00000000e+00
1.01000000e+02,9.38931682e-01,6.09058570e-01,3.27420277e-01,2.72998564e+02,2.73332774e+02,2.81863811e+02,7.75767990e-06,5.30386949e-05,1.71380016e-04,-9.79638530e-01,-8.76035511e-01,-8.05480227e-01,-1.00000000e+00
1.21000000e+02,9.04771494e-01,5.65555530e-01,3.00006250e-01,2.72997761e+02,2.73642740e+02,2.83883437e+02,1.16140999e-05,6.62070325e-05,1.87645355e-04,-9.68248800e-01,-8.62112381e-01,-8.01503169e-01,-1.00000000e+00
1.41000000e+02,8.67679000e-01,5.28964650e-01,2.78095786e-01,2.72996890e+02,2.74045668e+02,2.85675952e+02,1.57175300e-05,7.88573494e-05,2.02586864e-04,-9.55881383e-01,-8.50719663e-01,-7.98912672e-01,-1.00000000e+00
1.61000000e+02,8.29419949e-01,4.97205792e-01,2.59818872e-01,2.72996000e+02,2.74521958e+02,2.87267662e+02,1.98999134e-05,9.09349842e-05,2.16457293e-04,-9.43125034e-01,-8.41140850e-01,-7.97085816e-01,-1.00000000e+00
1.81000000e+02,7.91138054e-01,4.68940075e-01,2.44042324e-01,2.72995136e+02,2.75052019e+02,2.88686828e+02,2.40543938e-05,1.02422782e-04,2.29423407e-04,-9.30361150e-01,-8.32891007e-01,-7.95679873e-01,-1.00000000e+00
