vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
5172,1,7.02542e-14,7.02542e-14,7.02542e-14,0.216992,127426
5173,1,7.02542e-14,7.02542e-14,7.02542e-14,0.216992,127644
5174,1,7.02542e-14,7.02542e-14,7.02542e-14,0.216992,127882
5175,1,5.96006e-14,5.96006e-14,5.96006e-14,0.194444,128133
5176,1,6.79377e-14,6.79377e-14,6.79377e-14,0.198513,128160
5177,1,8.23755e-14,8.23755e-14,8.23755e-14,0.207774,128132
5178,1,1.00119e-13,1.00119e-13,1.00119e-13,0.217846,128198
5179,1,9.72831e-14,9.72831e-14,9.72831e-14,0.218901,128106
5180,1,8.50001e-14,8.50001e-14,8.50001e-14,0.21939,128125
5181,1,7.88586e-14,7.88586e-14,7.88586e-14,0.219634,128098
5182,1,7.88586e-14,7.88586e-14,7.88586e-14,0.219634,128037
5183,1,7.88586e-14,7.88586e-14,7.88586e-14,0.219634,128075
5184,1,9.34757e-14,9.34757e-14,9.34757e-14,0.205698,131866
5185,1,1.1015e-13,1.1015e-13,1.1015e-13,0.213835,132084
5186,1,1.16761e-13,1.16761e-13,1.16761e-13,0.215456,132226
5187,1,1.29984e-13,1.29984e-13,1.29984e-13,0.218699,132376
5188,1,1.24312e-13,1.24312e-13,1.24312e-13,0.22081,132439
5189,1,9.97459e-14,9.97459e-14,9.97459e-14,0.221787,132586
5190,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,132669
5191,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,132792
5192,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,132983
5193,1,7.23723e-14,7.23723e-14,7.23723e-14,0.198081,135543
5194,1,9.42625e-14,9.42625e-14,9.42625e-14,0.210347,135588
5195,1,1.02784e-13,1.02784e-13,1.02784e-13,0.215286,135491
5196,1,1.12701e-13,1.12701e-13,1.12701e-13,0.217718,135401
5197,1,1.09529e-13,1.09529e-13,1.09529e-13,0.220563,135303
5198,1,9.36044e-14,9.36044e-14,9.36044e-14,0.222032,135248
5199,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,135114
5200,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,135060
5201,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,135038
5202,1,3.85025e-14,3.85025e-14,3.85025e-14,0.186918,138300
5203,1,5.72716e-14,5.72716e-14,5.72716e-14,0.199242,138448
5204,1,7.29195e-14,7.29195e-14,7.29195e-14,0.211627,138393
