vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
40979,2,1.84394e-13,1.84394e-13,1.84394e-13,0.246522,145750
40980,2,1.84394e-13,1.84394e-13,1.84394e-13,0.246522,145390
40981,2,1.8904e-13,1.8904e-13,1.8904e-13,0.247514,144660
40982,2,1.98333e-13,1.98333e-13,1.98333e-13,0.249498,144342
40983,2,1.97491e-13,1.97491e-13,1.97491e-13,0.249313,143998
40984,2,1.92002e-13,1.92002e-13,1.92002e-13,0.248137,143836
40985,2,1.94747e-13,1.94747e-13,1.94747e-13,0.248725,144295
40986,2,1.94747e-13,1.94747e-13,1.94747e-13,0.248725,143945
40987,2,1.86514e-13,1.86514e-13,1.86514e-13,0.24696,144227
40988,2,1.81026e-13,1.81026e-13,1.81026e-13,0.245783,142672
40989,2,1.45553e-13,1.45553e-13,1.45553e-13,0.23695,141493
40990,2,1.47321e-13,1.47321e-13,1.47321e-13,0.237362,142098
40991,2,1.47264e-13,1.47264e-13,1.47264e-13,0.237345,143553
40992,2,1.47151e-13,1.47151e-13,1.47151e-13,0.237312,143882
40993,2,1.47094e-13,1.47094e-13,1.47094e-13,0.237295,144817
40994,2,1.49271e-13,1.49271e-13,1.49271e-13,0.237814,145009
40995,2,1.53626e-13,1.53626e-13,1.53626e-13,0.238853,145993
40996,2,1.55375e-13,1.55375e-13,1.55375e-13,0.239269,148007
40997,2,1.54518e-13,1.54518e-13,1.54518e-13,0.239063,147739
40998,2,1.5409e-13,1.5409e-13,1.5409e-13,0.23896,148881
40999,2,1.56626e-13,1.56626e-13,1.56626e-13,0.23964,150359
41000,2,1.61699e-13,1.61699e-13,1.61699e-13,0.240999,149808
41001,2,1.63409e-13,1.63409e-13,1.63409e-13,0.241468,150520
41002,2,1.61759e-13,1.61759e-13,1.61759e-13,0.241046,151561
41003,2,1.60933e-13,1.60933e-13,1.60933e-13,0.240836,152963
41004,2,1.65166e-13,1.65166e-13,1.65166e-13,0.241851,154031
41005,2,1.70912e-13,1.70912e-13,1.70912e-13,0.24323,156672
41006,2,1.72425e-13,1.72425e-13,1.72425e-13,0.243593,157413
41007,2,1.71064e-13,1.71064e-13,1.71064e-13,0.243268,158842
41008,2,1.69704e-13,1.69704e-13,1.69704e-13,0.242942,156116
41009,2,1.70952e-13,1.70952e-13,1.70952e-13,0.243283,153111
41010,2,1.74808e-13,1.74808e-13,1.74808e-13,0.244291,150376
41011,2,1.77416e-13,1.77416e-13,1.77416e-13,0.244958,148078
41012,2,1.7403e-13,1.7403e-13,1.7403e-13,0.244126,145961
41013,2,1.72336e-13,1.72336e-13,1.72336e-13,0.24371,145596
41014,2,1.75774e-13,1.75774e-13,1.75774e-13,0.244517,145916
41015,2,1.77518e-13,1.77518e-13,1.77518e-13,0.244908,145877
41016,2,1.80956e-13,1.80956e-13,1.80956e-13,0.245715,146368
41017,2,1.80036e-13,1.80036e-13,1.80036e-13,0.245518,146235
41018,2,1.75679e-13,1.75679e-13,1.75679e-13,0.244515,145664
41019,2,1.75679e-13,1.75679e-13,1.75679e-13,0.244515,145286
41020,2,1.7976e-13,1.7976e-13,1.7976e-13,0.24542,144561
41021,2,1.87922e-13,1.87922e-13,1.87922e-13,0.247231,144245
