Time,"elementCenter:0","elementCenter:1","elementCenter:2","temperature"
10000,0.48875,0.0047985,0.05,0.00071149
10000,0.48875,0.0047985,0.05,0.00071149
10000,0.48875,0.0047985,0.05,0.00071149
10000,0.48875,0.0047985,0.05,0.00071149
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.49843,0.0048935,0.05,0.00051482
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.5083,0.0049903,0.05,0.00036917
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.51836,0.0050891,0.05,0.00026231
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.52862,0.0051899,0.05,0.00018463
